"flag","content",
"$TITLE_SAVES","Fortsette",
"$TITLE_MENUS","Menyer",
"$TITLE_BATTLES","Kamp",
"$SAVE_PLAY","Spill",
"$SAVE_PLAY+","Spill+",
"$SAVE_IMPORT","Importere",
"$SAVE_EXPORT","Eksportere",
"$SAVE_DELETE","Slette",
"$SAVE_NEW_GAME","Nyt Spill",
"$SAVE_NEW_GAME+","Nyt Spill+",
"$MENU_THING_1","Ting 1",
"$MENU_THING_2","Ting 2",
"$MENU_1_FISH","En Fisk",
"$MENU_2_FISH","To Fisk",
"$MENU_RED_FISH","Rød Fisk",
"$MENU_BLUE_FISH","Blå Fisk",
"$MENU_TAB_1","Tab 1",
"$MENU_TAB_2","Tab 2",
"$MENU_TAB_3","Tab 3",
"$MENU_TAB_4","Tab 4",
"$MENU_TOGGLE","Endre",
"$MISC_BACK","Tilbake",
